Date,Value
2023-01-03,18960
2023-01-04,18920
2023-01-05,19090
2023-01-06,19340
2023-01-09,19300
2023-01-10,19590
2023-01-11,20210
2023-01-12,20470
2023-01-13,20170
2023-01-16,20880
2023-01-17,21130
2023-01-18,21300
2023-01-19,21720
2023-01-27,22010
2023-01-30,21220
2023-01-31,21760
2023-02-01,21050
2023-02-02,20880
2023-02-03,20470
2023-02-06,20800
2023-02-07,20550
2023-02-08,20590
2023-02-09,20470
2023-02-10,20210
2023-02-13,19960
2023-02-14,19920
2023-02-15,20510
2023-02-16,20720
2023-02-17,20720
2023-02-20,21550
2023-02-21,21300
2023-02-22,20760
2023-02-23,21220
2023-02-24,20550
2023-02-27,20260
2023-02-28,20380
2023-03-01,21010
2023-03-02,20930
2023-03-03,20470
2023-03-06,20300
2023-03-07,20470
2023-03-08,20880
2023-03-09,21180
2023-03-10,20800
2023-03-13,20470
2023-03-14,20090
2023-03-15,20720
2023-03-16,20380
2023-03-17,20340
2023-03-20,20050
2023-03-21,20210
2023-03-22,20300
2023-03-23,20420
2023-03-24,20550
2023-03-27,20510
2023-03-28,20470
2023-03-29,20420
2023-03-30,20550
2023-03-31,20930
2023-04-03,21130
2023-04-04,21050
2023-04-05,21050
2023-04-06,20970
2023-04-07,20880
2023-04-10,20800
2023-04-11,20800
2023-04-12,20760
2023-04-13,20840
2023-04-14,20760
2023-04-17,20880
2023-04-18,20760
2023-04-19,20380
2023-04-20,20210
2023-04-21,20260
2023-04-24,20130
2023-04-25,20210
2023-04-26,20130
2023-04-27,20130
2023-04-28,20340
2023-05-04,20510
2023-05-05,20550
2023-05-08,20880
2023-05-09,20840
2023-05-10,20800
2023-05-11,20880
2023-05-12,20840
2023-05-15,20840
2023-05-16,20880
2023-05-17,20800
2023-05-18,20930
2023-05-19,20840
2023-05-22,20880
2023-05-23,21010
2023-05-24,21010
2023-05-25,20970
2023-05-26,20880
2023-05-29,21010
2023-05-30,21050
2023-05-31,21220
2023-06-01,21400
2023-06-02,21800
2023-06-05,21750
2023-06-06,21800
2023-06-07,21850
2023-06-08,21600
2023-06-09,21550
2023-06-12,21450
2023-06-13,21600
2023-06-14,21650
2023-06-15,21700
2023-06-16,21800
2023-06-19,21650
2023-06-20,21650
2023-06-21,21700
2023-06-22,21650
2023-06-23,21900
2023-06-26,22250
2023-06-27,22200
2023-06-28,22300
2023-06-29,21900
2023-06-30,22050
2023-07-03,22050
2023-07-04,22000
2023-07-05,21950
2023-07-06,21700
2023-07-07,21700
2023-07-10,21950
2023-07-11,22000
2023-07-12,21850
2023-07-13,22000
2023-07-14,22000
2023-07-17,22000
2023-07-18,22000
2023-07-19,22000
2023-07-20,22000
2023-07-21,22100
2023-07-24,22050
2023-07-25,22300
2023-07-26,22300
2023-07-27,22150
2023-07-28,22200
2023-07-31,22950
2023-08-01,22850
2023-08-02,23100
2023-08-03,23450
2023-08-04,24400
2023-08-07,23750
2023-08-08,23400
2023-08-09,23200
2023-08-10,22900
2023-08-11,22900
2023-08-14,23050
2023-08-15,22850
2023-08-16,22900
2023-08-17,22850
2023-08-18,21900
2023-08-21,22000
2023-08-22,22050
2023-08-23,21850
2023-08-24,22050
2023-08-25,21950
2023-08-28,22050
2023-08-29,22050
2023-08-30,22450
2023-08-31,22600
2023-09-05,22750
2023-09-06,22950
2023-09-07,22900
2023-09-08,22750
2023-09-11,22350
2023-09-12,22750
2023-09-13,22550
2023-09-14,22450
2023-09-15,22650
2023-09-18,22450
2023-09-19,22300
2023-09-20,22450
2023-09-21,22400
2023-09-22,22300
2023-09-25,22000
2023-09-26,21900
2023-09-27,22000
2023-09-28,21750
2023-09-29,21850
2023-10-02,21900
2023-10-03,21600
2023-10-04,21600
2023-10-05,21600
2023-10-06,21800
2023-10-09,22500
2023-10-10,22800
2023-10-11,22700
2023-10-12,22700
2023-10-13,22650
2023-10-16,22600
2023-10-17,22450
2023-10-18,22050
2023-10-19,21800
2023-10-20,21900
2023-10-23,21800
2023-10-24,21900
2023-10-25,21900
2023-10-26,21100
2023-10-27,21550
2023-10-30,21300
2023-10-31,21400
2023-11-01,21600
2023-11-02,22300
2023-11-03,22050
2023-11-06,22200
2023-11-07,22100
2023-11-08,22800
2023-11-09,22550
2023-11-10,22400
2023-11-13,22450
2023-11-14,22700
2023-11-15,23250
2023-11-16,23300
2023-11-17,22700
2023-11-20,22500
2023-11-21,22600
2023-11-22,22700
2023-11-23,22200
2023-11-24,22050
2023-11-27,21850
2023-11-28,21900
2023-11-29,22050
2023-11-30,21950
2023-12-01,21950
2023-12-04,22300
2023-12-05,22150
2023-12-06,22300
2023-12-07,22400
2023-12-08,22400
2023-12-11,22400
2023-12-12,22500
2023-12-13,22300
2023-12-14,22500
2023-12-15,22750
2023-12-18,22800
2023-12-19,23050
2023-12-20,23200
2023-12-21,23250
2023-12-22,23200
2023-12-25,23350
2023-12-26,23250
2023-12-27,23300
2023-12-28,23750
2023-12-29,23900
2024-01-02,24450
2024-01-03,25000
2024-01-04,25300
2024-01-05,25450
2024-01-08,25350
2024-01-09,25000
2024-01-10,25250
2024-01-11,25250
2024-01-12,25800
2024-01-15,25300
2024-01-16,25400
2024-01-17,25400
